,text,emb_dict,onset_time,offset_time,tr
1521,survived,survived,546.24,547.21,367.0
1522,Um,um,547.66,548.07,368.0
1523,and,and,547.7,547.7,368.0
1524,I,I,547.8,547.8,368.0
1525,think,think,547.9,547.9,368.0
1526,about,about,548.0,548.0,368.0
1527,the,the,548.48,548.54,368.0
1528,little,little,548.54,548.72,368.0
1529,joke,joke,548.72,549.03,368.0
1530,that,that,549.04,549.18,369.0
1531,she,she,549.179999,549.299999,369.0
1532,told,told,549.3,549.53,369.0
1533,me,me,549.53,549.67,369.0
1534,earlier,earlier,549.67,550.09,369.0
1535,how,how,550.09,550.24,369.0
1536,it’s,it's,550.24,550.42,369.0
1537,not,not,550.42,550.6,369.0
1538,the,the,550.599999,550.679999,370.0
1539,fall,fall,550.679999,550.959999,370.0
1540,that,that,550.969999,551.119999,370.0
1541,gets,gets,551.12,551.33,370.0
1542,you,you,551.33,551.45,370.0
1543,it’s,it's,551.45,551.51,370.0
1544,the,the,551.509999,551.609999,370.0
1545,sudden,sudden,551.61,551.91,370.0
1546,stop,stop,551.91,552.3,370.0
1547,And,and,552.309999,552.429999,371.0
1548,I,i,552.429999,552.509999,371.0
1549,think,think,552.52,552.63,371.0
1550,you,you,552.639999,552.759999,371.0
1551,know,know,552.759999,552.989999,371.0
1552,maybe,maybe,553.38,553.64,371.0
1553,she’s,she's,553.639999,553.829999,372.0
1554,right,right,553.83,554.17,372.0
1555,I’m,i'm,554.5,554.68,372.0
1556,not,not,554.679999,554.819999,372.0
1557,going,going,554.82,554.93,372.0
1558,to,to,554.929999,554.999999,372.0
1559,stop,stop,555.0,555.33,373.0
1560,that’s,that's,555.349999,555.579999,373.0
1561,what,what,555.58,555.69,373.0
1562,kills,kills,555.69,555.97,373.0
1563,you,you,555.969999,556.199999,373.0
1564,And,and,556.99,557.16,374.0
1565,so,so,557.16,557.43,374.0
1566,I,i,557.43,557.7,374.0
1567,lock,lock,557.779999,558.239999,374.0
1568,eyes,eyes,558.24,558.5,375.0
1569,with,with,558.51,558.66,375.0
1570,her,her,558.67,559.01,375.0
1571,and,and,559.03,559.13,375.0
1572,I,i,559.13,559.23,375.0
1573,glare,glare,559.28,559.7,375.0
1574,at,at,559.7,559.87,376.0
1575,her,her,559.87,560.25,376.0
1576,and,and,560.47,560.51,376.0
1577,I,i,560.59,560.66,376.0
1578,hope,hope,560.66,560.92,376.0
1579,I’m,i'm,560.92,561.06,376.0
1580,cute,cute,561.06,561.31,377.0
1581,when,when,561.39,561.55,377.0
1582,I’m,i'm,561.55,561.65,377.0
1583,angry,angry,561.65,562.23,377.0
1584,and,and,564.28,564.41,379.0
1585,I,i,564.41,564.48,379.0
1586,sign,sign,564.48,564.74,379.0
1587,up,up,564.74,564.92,379.0
1588,for,for,565.2,565.3,379.0
1589,another,another,565.3,565.54,379.0
1590,lesson,lesson,565.54,565.89,380.0
1591,And,and,568.61,568.74,382.0
1592,I,i,568.74,568.82,382.0
1593,drive,drive,568.83,569.12,382.0
1594,home,home,569.12,569.34,382.0
1595,with,with,569.349999,569.419999,382.0
1596,the,the,569.42,569.47,382.0
1597,top,top,569.469999,569.749999,382.0
1598,down,down,569.789999,570.119999,382.0
1599,Thank,thank,571.139999,571.379999,383.0
1600,you,you,571.379999,571.419999,383.0
